Month/Week,Content Type,Content Piece,B-Roll,On-Screen Text / Copy,Notes,Example Link,Audio,Caption Hook/Info,Format,Content Pillar,Status,Feedback
April W1,Reel,Reel 1,"A clean, aesthetically pleasing b-roll shot",Hook: Slow season in aesthetics is a choice. Pop-up: Here's how to opt out.,"Controversial, curiousity
",https://www.instagram.com/reel/C5v0a52Agr8/?igsh=MWlxcW82b2o1dGM2MQ%3D%3D,,"Every season gives your patients a reason to book.
The question is,  are you using it?
""Spring is 6 weeks away"" is a reason to act.
""Recovery time is right now"" is a reason to act.
""This is your last window before summer"" is a reason to act.
Seasonal urgency. It works because it's real. When your messaging is tied to a deadline patients can actually feel, decisions happen faster.
The practices that stay fully booked are just speaking to the season their patients are already thinking about.
Map your offers to the calendar. Get ahead of the season. Give them a real reason to book now. not eventually.
👇 Save this before Q2 planning.
#medspamarketing #aestheticmarketing #medspaowner #medspagrowth #medspabusiness",B-Roll + Long Caption,Educational,In Review,
April W1,Reel,Reel 2,,"HOOK:
These medspa marketing tactics have been dead for years.

POP-UPS:
01.
Posting your specials on a plain graphic.
(Nobody is saving that)
02.
""Call us to book!""
(Your patients want to book online at 11pm)
03.
Copy-paste website language
(You’re not standing out)
04.
Relying on word of mouth as a marketing strategy.
(It's a good start!)
05.
Treating AI like an option
(Your falling behind)
06.
Measuring success by vanity metrics
(Are likes putting food on the table?)",Dead trends/current trends are a topic that do well across the board,,,"If this made you uncomfortable, good. 👀
The practices pulling ahead aren't doing more. They're doing the right things. and they stopped doing these a long time ago.

#medspamarketing #aestheticmarketing #medspaowner #medspagrowth #medspabusiness",B-Roll + one by one list pop,Shareable/Viral,In Review,
April W1,Reel,Reel 3,,"I wish more people knew that most agencies will take your budget, run the same campaign they ran for their last client, and call it a strategy. Getting clicks is easy. They just never tell you that's all they're doing.",,,,"Examples👇
""Best treatment for sun damage in fall.""
 ""How to prep skin for winter.""
""What to get done before the holidays.""
If your content isn't targeting what they're actually typing, you're invisible during the months you need visibility the most.
Slow months are a search behavior shift, not a demand drop. Are you keeping up? 
#medspamarketing #aestheticmarketing #medspaowner #medspagrowth #medspabusiness
",,Educational,In Review,
April W1,Carousel,Carousel 1,"The Slack message is the message Chris recently sent about firing people if ""no index"" on a website ever happens again. I can cut out what the actual mistake was. The design will be in the notes app style or journal style (just casual text on the screen)","Slide 1 — Hook Why I let go of multiple team members in a single day after 15 years in this industry.

Slide 2 Okay, I didn't.
But I threatened to. And I meant every word of it.
[INSERT screenshot of Slack message]

Slide 3 Here's what happened.
We discovered something that was silently costing our clients.
Slide 4 In 15 years I have never sent a message like that to my team.
But this wasn't a small mistake. We lost two clients that month alone. Real people, real practices, hundreds of thousands of dollars in damage, to them and to us.

Slide 5 I don't say this to air out our mistakes publicly.
I say it because this is what accountability looks like inside a company that actually cares about its clients.
When something goes wrong on our end, we don't hide it. We fix it, we own it, and we make sure it never happens again.

Slide 7 If you're working with a marketing agency and something goes wrong, you deserve to know about it immediately. They should care enough to spot it before you ever do.
Not when you notice the results dropping. Not when you ask the right question. Immediately.
That's the only standard worth holding.

Slide 8 — CTA We're not perfect. But we hold ourselves to a standard that most agencies don't.
And this is why in the end, we pride ourselves in providing some of the best work in the industry. 
",,The example Ivonne gave me: https://www.instagram.com/p/DTu1grck2yC/?igsh=MXRkcnlndjg3cjRpNw%3D%3D ,,,,Services/Process/Promo Carousel or Storytelling or Team Carousel,In Review,
April W1,Story,Story 1,"The Slack message is the message Chris recently sent about firing people if ""no index"" on a website ever happens again. I can cut out what the actual mistake was. The design will be in the notes app style or journal style (just casual text on the screen)","""I just said something in the group chat that made everyone go quiet... creating a post on it soon""",,,,,,,In Review,
April W1,Story,Story 2,,"""What's the average no-show rate for a medspa?""

5–10%
15–25%
30%+
Follow-up slide: ""It's 15–25%. And most owners have never calculated what that costs them monthly.""",Engages and informs,,,,,,In Review,
April W2,Reel,Reel 4,,"Hook: When you never know why your ads stop working, and you finally figure out it's because your audience has seen the same creative 47 times...

Pop-up: What our campaigns look like: *show a pop up of a name of a campaign we did with a pop-up of different creatives*

Pop-up: Always create more than one ad for a campaign. Run one creative until you start seeing a drop-off, then switch it out, and repeat.","More centered toward the reader, shows off work",,,"But before you even touch your budget... check your creative for these 👇
Ask yourself:
→ Has my audience seen this same ad for 30+ days?
→ Am I running video or just static images? (Video consistently outperforms static in aesthetic ads)
→ Does my creative match the season? Spring skin prep hits differently than a January offer.
→ Am I showing real results or just stock imagery?
→ Is the hook in the first 3 seconds actually stopping the scroll?
→ When did I last introduce a completely new concept or angle?
If you can't answer these confidently, your creative is the problem, not your budget and not your targeting.
Rotate fresh content before performance drops. By the time you notice the decline, you've already lost money.
#medspamarketing #aestheticmarketing #medspaowner #medspagrowth #medspabusiness",,Provider-Focused,In Review,
April W2,Reel,Reel 5,B-roll of Ivonne or Chris with an audio that matches,"""Plastic surgery is so unnatural""
said someone wearing makeup, dying their hair, and getting laser hair removal
OR
""You looked fine before botox"" okay but I look incredible now so",Relatable/Sharable/Funny,,,,,Shareable/Viral,In Review,
April W2,Reel,Reel 6,"Screen recordings of the website: homepage hero, services menu, before & after gallery, booking page. Client's recognizable image featured prominently.",POV: You just launched one the most important and beautiful websites of your career. 🐰,"Engaging format, shows personality, shows work",,,"
The Lip Bunny Beauty just got a serious upgrade. 🐰✨ This is what happens when a brand as recognizable as The Lip Bunny gets a digital home that matches her energy.
We built a website that actually does the work. On Brand. Educational. Optimized. User-friendly.
Lip filler. Botox. Cheek filler. Jawline filler. RF Microneedling. BBL Hero. Chemical peels. And so much more.
Welcome to the new thelipbunnybeauty.com 👇
📍 Fall River, MA
#lipbunny #medspa #aestheticpractice #medspaweb #medspamarketing",,Partnership & client,In Review,
April W2,Carousel,Carousel 2,,"Slide 1 — What happens when you hire us to design & develop your brands website
Slide 2 — We start with strategy. Before we touch a single visual, we learn your practice, your patients, and what's making your current site lose bookings.
Slide 3 — [INSERT: Discovery/onboarding process — what info you gather, what questions you ask]
Slide 4 — [INSERT: What the build process looks like — timeline, communication, approvals]
Slide 5 — [INSERT: Show website example #1 — before/after or finished product]
Slide 6 — [INSERT: Show website example #2]
Slide 7 — What a site we build can include — [INSERT: list of deliverables specific to Medstar's web package]
Slide 8 — [INSERT: Result or outcome — bookings, conversion rate, client feedback]
Slide 9 — Your website should be your hardest working team member.
If it's not booking patients, it's costing you them.
Link in bio to see our work and book a strategy session.",I have information from this template: https://www.canva.com/design/DAGrXpqjpXY/_9-c_5LsCi2pMJ_kbSgxQw/edit,,,,,Services/Process/Promo Carousel or Storytelling or Team Carousel,In Review,
April W2,Story,Story 3,Showing off Lip Bunny website ,We just launched something and we're obsessed with it,,,,,,,In Review,
April W2,Story,Story 4,One of the videos of Ivonne getting botos we havent used - https://drive.google.com/file/d/1mZBqREGkLNGP2zhbpqISRZVMH0VW1rF2/view?usp=drive_link,"""Question of the week"" Poll: How confident are you in your current marketing strategy?
A — Very. Our pipeline is predictable and full
B — Somewhat. Some things are working
C — Not very. It feels inconsistent
D — Not at all. I need a full reset",,,,,,,In Review,
April W3,Reel,Reel 7,New Ivonne getting Botox video (and maybe a mix of others?),When we actually just market aesthetic practices just so we can get free treatments,Funny,,Funny audio like the bad instrument playing one,,,Brand & Personal,In Review,
April W3,Reel,Reel 8,A person being shown doing something on the screen normally works best here. Include proof of the app from here: file:///home/chronos/u-700a21f27e5d3b4d29e29d60f2ac66a7311efe10/MyFiles/Downloads/medstar_carousel_generator.html,Hook: We trained Claude to build a month of carousel content for aesthetic practices in under an hour. Then we turned those prompts into an dashboard that generates it all in one click. Here are the 4 prompts we used:,"Viral format, extremely saveable, - these types do the best in the algorithm. Feeds into it while also bringing a new point of view",https://www.instagram.com/reel/DVNfgUggOme/?igsh=ZmNsbzVwMmhhOGJz,,"Step-by-step process with prompts below 🧠

Did you know you can build custom dashboards directly inside Claude for any recurring task in your workflow? We’re going to show you an example below. 

Plug these prompts into Claude and you’ll end up with a dashboard similar to the one above.

Make sure to save this and follow us for more 🩵

▪️Prompt 1 — Set the brand voice
""You are a content strategist for a medical aesthetic practice. Brand voice: [ex. confident, educational, direct. Never salesy. Always tie content to patient results or real scenarios.]""

▪️Prompt 2 — Generate the ideas
""Give me [X] carousel ideas that each address one of these pain points: [insert pain points]. Format each as: hook slide, 3–5 value slides, CTA slide.""

▪️Prompt 3 — Batch build the whole month
""Using the brand voice and concepts above, build all [X] carousels at once. For each: Slide 1 scroll-stopping hook, slides 2–5 one insight per slide in plain language under 15 words each, final slide soft CTA. Then write a caption under 150 words that opens with a bold statement. Then reformat each carousel for Canva — headline max 8 words, supporting text max 20 words, suggested background from this palette: [your hex codes]. Output as a numbered list I can copy slide by slide.""

——

Save this and plug it in. A full month of content in under an hour.

▪️Bonus — Turn it into a dashboard ""Take these 6 prompts and build me a single HTML app that runs this entire workflow automatically. Input fields for practice name, brand voice, services, and pain points. Output [X] carousels formatted for Canva with captions. Dark, minimal design. Use the Claude API.""


#medspaowner #aestheticmarketing #medspagrowth #medspabusiness #aestheticpractice",Small text + long caption,Shareable/Viral,In Review,
April W3,Reel,Reel 9,,"Hook: If your aesthetic practice doesn't offer online booking, or offers the wrong type, it’s costing you. Here's how to know which one you need:

Pop-up: Our websites always have booking experiences that match the treatment.

Pop-up:

 → Direct booking works for:
Injectables and less complex treatments
  ( Botox · Filler · Chemical peels · Routine injectables)

→ Consultation request works for:
Complex and high-consideration procedures
   (Rhinoplasty · Body contouring · Laser resurfacing)

Pop-up under: Match the booking type to the treatment.",Shows of work while educating,,,"Most aesthetic practices either don't offer online booking at all, or use the same form for every treatment. A patient ready to book Botox doesn't want to fill out a consultation request and wait for a callback. That's friction. They'll find someone easier. And a surgical candidate sent straight to a scheduling link skips the conversation they actually need. Match the booking type to the treatment. Which one are you using right now?
Save this and audit your booking flow this week.
#medspaowner #aestheticmarketing #medspagrowth #medspabusiness #aestheticpractice",B-Roll + pop-ups,Educational,In Review,
April W3,Carousel,Carousel 3,,Meet the team: Ivonne,,,,,,Services/Process/Promo Carousel or Storytelling or Team Carousel,In Review,
April W3,Story,Story 5,New Chris video on stage,"When we're not building patient acquisition systems for aesthetic practices, we're talking about it on stage.",,,,,,,In Review,
April W3,Story,Story 6,,Meet the team: Ivonne that links the carousel,,,,,,,In Review,
April W4,Reel,Reel 10,,"Hook: If we had to implement AI into an aesthetic practices workflow, this is exactly how we would do it

Pop-up: #1 - GoHighLevel / Klaviyo
Lead follow-up — texts new leads in under 5 min + reactivates dormant patients automatically

Pop-up: #2 - Claude
Content creation — AI drafts your monthly content calendar

Pop-up: #3 - Meta Advantage+ / Google PMax
Ad creative testing — AI rotates creatives automatically

Pop-up: #4 - Birdeye / Podium
Reputation management — AI monitors and responds to reviews

Pop-up: #5 - Claude / Google Looker Studio
AI pulls your numbers into one weekly dashboard",Viral Format,"https://www.instagram.com/reel/DXEjuFijUm_/?igsh=MWcyNm1obTJ6czA3Yw== ""if i had to implement AI into an aesthetic practices workflow, this is exactly how we would do it"" #1, #2",,,,Provider-Focused,In Review,
April W4,Reel,Reel 11,Showing off ads & text blasts,Not to brag but... we're pretty good at designing ads,,"https://www.instagram.com/reel/DLUw576xQAb/?igsh=NTk3cHdvZXg4Nm5p, https://www.instagram.com/reel/DETL2Z8SOSI/?igsh=MTRlNng5aWFyZDVzMA==, https://www.instagram.com/reel/DA_I8W-odfQ/?igsh=eGFubjUxczM0MTkx, ",,"Just good creatives for your feed.
#medspaowner #aestheticmarketing #medspagrowth #medspabusiness #aestheticpractice",,Partnership & client,In Review,
April W4,Reel,Reel 12,,"Title: The medspa industry is the most competitive it has ever been

SURVIVING | THRIVING

 💰 $18K/mo | 💰 $187K/mo
→ Running specials to stand out | Building a brand patients recognize 
→ Relying on word of mouth | Running targeted local ads 
→ One provider, one schedule | Systems that run without you 
→ Posting and hoping | Content tied to a booking strategy 
→ Measuring likes | Measuring CPL (cost per lead), show rate, LTV (patient lifetime value)
→ Reacting to slow seasons | Planning 60 days ahead",Viral format,https://www.instagram.com/reel/DWrj3gUDwb-/?igsh=MXN4dThyN3FqY2w4bg%3D%3D,,"The medspa industry is not slowing down. New practices are opening every week, patients are more informed than ever, and running a special is no longer enough to stand out.
These are the differences between an $18K month and a $187K month at an aesthetic practice.
Which column does your practice live in?
#medspaowner #aestheticmarketing #medspagrowth #medspabusiness #aestheticpractice",Title + List,Partnership & client,In Review,
April W4,Carousel,Carousel 1,Show off UGC ads we've dnoe throughout,"Hook: Aesthetic practices are doing influencer marketing wrong
and it's costing them bookings.

Slide 2: Here's what they do:
Gift a free treatment. Get one feed post, maybe even just one story post. No tracking. No commission. No follow-up.
Then decide influencer marketing ""is not needed”

Slide 3: Here's why that kills the whole strategy:
When you run it that way, you strip out the one thing that makes it work.
Clients browsing aesthetic services are deciding whether to trust someone with their face and body. That decision heightens when it comes from someone they already know and trust. If that person shows them the full experience, walk-in to results, and makes it feel safe, why wouldn't they book?
That's the only thing influencer marketing does that paid ads can't.

Slide 4: 
And that's not the only thing you're missing out on.
Followers comment and DM influencers with the questions they'd never ask a clinic. ""Did it hurt? Was it worth it?"" Conversations begin happening around your brand.
The influencer answers. Objections get handled. Not only are you getting direct bookings and a major increase in warm leads, you're also building your community within someone else's.

Slide 5: Here's how influencer marketing should actually work for your practice:
Wrong: chasing follower count. Right: chasing local relevance.
A creator with 6K followers where most of them are in your city will out-book one with 80K spread across 12 states every time. Their audience has to be able to walk through your door. If they can't, the post means nothing.
Slide 6: Wrong: one post and done. Right: building an ongoing relationship.
One post sparks curiosity. Repeated content builds trust. Trust is what converts. The influencer who showed up for your practice three times over two months will always out-book the one who posted once and moved on.
Slide 7: Wrong: chasing a big audience for one great post. Right: finding someone whose lifestyle your practice already fits into.
One post gets forgotten. But a creator who genuinely lives the aesthetic lifestyle, who your practice fits naturally into their content, their routine, their brand, keeps selling for you without it ever feeling like a sell.
Their audience doesn't see a promotion. They see a life they want. And your practice is already part of it.

Slide 8: Wrong: gifting a treatment and hoping they post. Right: tying their comp to actual bookings.
""For every $250 gift card sold through your code, you earn $50."" That one shift changes everything. Now they're posting more than once, answering every DM, and closing for you. They have skin in the game.

Slide 9: Wrong: no tracking. Right: every influencer gets a unique promo code and their own landing page.
If you can't trace a booking back to a specific influencer, you don't have a campaign. You have a guess. And you can't scale a guess.

Slide 10:
Save this.
Follow for more strategy that actually fills schedules.",Info source: medstarmedia.com/how-medspas-can-use-microinfluencers ,https://www.instagram.com/p/DW69RL9kce9/?igsh=cXRvOTg3NHBwZWtl,,"If you haven't been using influencer marketing for your practice, you should be. And if you have and it hasn't been working, this is exactly why.
Gifting a free treatment and hoping for a post isn't a strategy. But this is:
Chase local relevance over follower count
Build ongoing relationships, not one-off campaigns
Find creators whose lifestyle your practice already fits into
Tie their comp to actual bookings
Track every booking back to a source
Save this for when you're ready to do it right. 

#medspamarketing #aestheticmarketing #medspaowner #medspabusiness #medspagrowth
",,Educational + Showing Off Work,In Review,
April W4,Story,Story 7,"Lip Bunny Website. Greek style website. Other pretty websites. Picture staggered screenshots, some moving, some not, of the treatment page for each website. Elements or background be on-brand with the color for each website",Title: Our Treatment pages. Subheader: [Treatment name]. Have about 5 stories showing off different parts of a treatment page,,,,,,,In Review,
April W4,Story,Story 8,,Testimonial story for highlights,,,,,,,In Review,
April W5,Reel,Reel 13,,"Hook:
9 things to do the moment your website goes live

Pop-up: 
Test your contact form on your phone
Connect Meta Pixel + Google Tag
Set up Google Analytics
Submit your sitemap to Google Search Console
Link it to your ads
Add your review widget
Set up SMS/email automation for new leads
Run a speed test
Create a retargeting audience
",,https://www.instagram.com/reel/C6GyO_molVE/?igsh=MWpteW53bXRpdTN6ZA%3D%3D,,"You spent months building your website. Don't let it sit there doing nothing.
Your website is one of your most powerful patient acquisition tools — but only if it's connected, tracked, and ready to convert. If you're not sure where to start, this is your checklist.
Save this so you don't miss a step. 

#medspamarketing #medspaowner #aestheticmarketing #medspagrowth #medspabusiness",,Shareable/Viral,In Review,
April W5,Reel,Reel 14,,"Hook: I hate to tell you this if you're an aesthetic practice owner, but…your website is sitting on free patients and you don't even know it.
Pop-up: 12 months ago, this practice had zero organic clicks from Google. Zero.
*screenshot of organic growth Kamie showed in the chat*
Pop-up: *under the first pop-up text and screenshot* Today? 37,000+ impressions a month. 349 clicks. All organic. No ad spend.
Pop-up: *alone* That’s the underrated power of SEO.
",,,,"Most aesthetic practices are spending thousands on ads every month, but ignoring the one channel that compounds over time and costs nothing per click.
SEO isn't sexy. It doesn't work overnight. But 12 months in? The numbers speak for themselves.
Zero organic clicks to 37,000+ impressions a month. Service page clicks up 45%. Blog traffic up 128%. All without spending a dollar on ads.
Don't sleep on SEO!

#medspamarketing #m",,Provider-Focused,In Review,
April W5,Reel,Reel 15,,"Hook: When you're on a sales call at the front desk and a patient says…

Pop-up:
❌ ""How much does it cost?"" ✅ ""What's your main goal? Tightening, lifting, or more of a glow? That'll help me give you an accurate number.""
❌ ""I'm just looking for now, not ready to book."" ✅ ""No pressure at all! If you're open to it, we sometimes take treatment models. Want me to add you to that list?""
❌ ""I'm nervous, I've never done this before."" ✅ ""That's so, so normal. I was also nervous my first time but my personal experience with [doctor] ended up being great…""
❌ ""I saw somewhere doing it cheaper."" ✅ ""Totally valid! Can I ask, do you know who would be doing the injecting there? That's usually where the difference shows up.""",,https://www.instagram.com/reel/DLDgYp9M-xq/?igsh=OXo0ZzVmc3E0dHY5,,"Your front desk is your highest-converting sales tool and most practices don't even train for it.
Every call is a warm lead. The patient already found you, already picked up the phone. All it takes is the right response to turn that conversation into a booked appointment.
Save this and share it with your team. 

#medspamarketing #medspaowner #aestheticmarketing #medspagrowth #medspabusiness",,Shareable/Viral,In Review,
April W5,Carousel,Carousel 5,,"SLIDE 1 — HOOK To the aesthetic practice owner who's tired of paying for marketing that doesn't bring results.

SLIDE 2 — CREDIBILITY 15 years. Over $1 billion in aesthetic revenue generated.
Here's what we've learned about why marketing fails for practices like yours.

SLIDE 3 — PROBLEM: VANITY METRICS / NO TRACKING They showed you a report every month full of numbers going up.
What they never showed you was how many of those people actually booked. Because they didn't know. And neither did you.
Impressions, reach, and follower counts mean nothing if they're not connected to real tracking. Without it, you're flying blind — and paying for it.

SLIDE 4 — SOLUTION: TRACKING The fix: connect every marketing channel to real numbers.
Track CPL so you know what you're paying per lead
Track show rate so you know who's actually walking in
Track CPA so you know what a booked patient costs you
Build a dashboard that ties ad spend directly to revenue
When you can see where leads come from and where they drop off, you stop wasting money and start making decisions that grow your practice.

SLIDE 5 — PROBLEM: WRONG PATIENT TARGETING You kept getting leads who ghosted, negotiated your prices, or booked once and never came back.
That's not bad luck. That's what happens when your marketing has no clear patient avatar. You were reaching everyone — and converting no one.
The right strategy attracts the right patients and filters out the wrong ones.

SLIDE 6 — SOLUTION: PATIENT TARGETING Start by defining exactly who your best patient is.
What treatments do they book repeatedly?
What is their average spend per visit?
Where do they find you — Google, Instagram, referrals?
What do they say when they describe their problem?
Every ad, caption, and offer gets built around that person. You stop attracting price shoppers and start attracting patients who book without hesitation and come back.

SLIDE 7 — PROBLEM: NO FRONT DESK TRAINING Here's the part nobody talks about.
You can have the best ads, the best SEO, and a fully optimized website. But if the person answering your phones doesn't know how to convert a curious caller into a booked patient — it all leaks out at the last step.
Most agencies hand you leads and walk away. Nobody trains the person actually closing them.

SLIDE 8 — SOLUTION: FRONT DESK TRAINING Your front desk is your highest-converting touchpoint — treat it like one.
Train your team to ask questions, not just answer them
Script responses to the most common objections
Set a response time standard — 5 minutes or less
Track how many calls turn into consultations
The best marketing means nothing if the person on the phone isn't equipped to close.

SLIDE 9 — CTA This is what a real marketing partner looks at.
Not just your ads. Not just your traffic. But your tracking, your targeting, and your team.","Speaks directly to your target audiences pain point, these generally get more followers.",,,"If you've hired marketing help before and it didn't work — this isn't on you.
Most agencies focus on one piece of the puzzle and call it done. No real tracking. No patient targeting strategy. No support for the team converting those leads into bookings.
After 15 years and over $1 billion in aesthetic revenue generated, we know exactly where the gaps are and how to close them.
Our DMs are always open!
#medspamarketing #medspaowner #aestheticmarketing #medspagrowth #medspabusiness",,Educational + Testimonial/Case Study/Results Carousel,In Review,
April W5,Story,Story 9,Template: https://canva.link/levhutw5602du32,"Our favorite recent text blasts. ""who love seeing our text blasts?"" heart eye rating",,,,,,,In Review,
